image_path,live_probability,is_real,detected_as_real
archive/raw/ClientRaw\0001\0001_00_00_01_310.jpg,0.5025975704193115,False,True
archive/raw/ClientRaw\0011\0011_01_07_03_191.jpg,0.5164675116539001,False,True
archive/raw/ClientRaw\0004\0004_01_06_03_133.jpg,0.5209446549415588,False,True
archive/raw/ClientRaw\0004\0004_01_06_03_426.jpg,0.5211763381958008,False,True
archive/raw/ClientRaw\0014\0014_01_06_03_411.jpg,0.5327511429786682,False,True
archive/raw/ClientRaw\0007\0007_01_05_03_406.jpg,0.5270206928253174,False,True
archive/raw/ClientRaw\0006\0006_00_06_03_63.jpg,0.5267540812492371,False,True
archive/raw/ClientRaw\0005\0005_00_00_02_409.jpg,0.5335165858268738,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_284.jpg,0.5221156477928162,False,True
archive/raw/ClientRaw\0009\0009_01_00_02_37.jpg,0.5222823619842529,False,True
archive/raw/ClientRaw\0004\0004_01_06_03_390.jpg,0.5290695428848267,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_350.jpg,0.5173655152320862,False,True
archive/raw/ClientRaw\0001\0001_00_00_01_123.jpg,0.5021546483039856,False,True
archive/raw/ClientRaw\0007\0007_01_00_02_235.jpg,0.5231055021286011,False,True
archive/raw/ClientRaw\0010\0010_01_05_03_287.jpg,0.5231578946113586,False,True
archive/raw/ClientRaw\0006\0006_00_06_03_475.jpg,0.5258138179779053,False,True
archive/raw/ClientRaw\0004\0004_01_06_03_45.jpg,0.514620304107666,False,True
archive/raw/ClientRaw\0006\0006_00_06_03_191.jpg,0.5299471616744995,False,True
archive/raw/ClientRaw\0003\0003_01_00_01_406.jpg,0.5027940273284912,False,True
archive/raw/ClientRaw\0006\0006_00_06_03_93.jpg,0.527630627155304,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_276.jpg,0.5206946134567261,False,True
archive/raw/ClientRaw\0012\0012_01_07_03_432.jpg,0.5320795178413391,False,True
archive/raw/ClientRaw\0012\0012_01_07_03_101.jpg,0.5240699052810669,False,True
archive/raw/ClientRaw\0014\0014_01_06_03_49.jpg,0.5219260454177856,False,True
archive/raw/ClientRaw\0007\0007_01_05_03_323.jpg,0.526294469833374,False,True
archive/raw/ClientRaw\0004\0004_01_00_01_183.jpg,0.507513165473938,False,True
archive/raw/ClientRaw\0005\0005_00_00_02_380.jpg,0.5270505547523499,False,True
archive/raw/ClientRaw\0004\0004_01_06_03_197.jpg,0.5298736095428467,False,True
archive/raw/ClientRaw\0014\0014_01_06_03_446.jpg,0.538800060749054,False,True
archive/raw/ClientRaw\0007\0007_01_05_03_130.jpg,0.5126878023147583,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_166.jpg,0.5207610130310059,False,True
archive/raw/ClientRaw\0014\0014_01_06_03_418.jpg,0.5310860276222229,False,True
archive/raw/ClientRaw\0011\0011_01_07_03_423.jpg,0.527672290802002,False,True
archive/raw/ClientRaw\0007\0007_01_00_01_390.jpg,0.5200784802436829,False,True
archive/raw/ClientRaw\0006\0006_00_06_03_190.jpg,0.5296546220779419,False,True
archive/raw/ClientRaw\0014\0014_01_06_03_33.jpg,0.520908534526825,False,True
archive/raw/ClientRaw\0007\0007_01_05_03_53.jpg,0.5271697640419006,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_468.jpg,0.5173280835151672,False,True
archive/raw/ClientRaw\0011\0011_01_07_03_3.jpg,0.5223419666290283,False,True
archive/raw/ClientRaw\0007\0007_01_05_03_60.jpg,0.5276528000831604,False,True
archive/raw/ClientRaw\0014\0014_01_06_03_457.jpg,0.538190484046936,False,True
archive/raw/ClientRaw\0009\0009_01_00_02_220.jpg,0.5258266925811768,False,True
archive/raw/ClientRaw\0007\0007_01_05_03_94.jpg,0.5128762125968933,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_3.jpg,0.5236005783081055,False,True
archive/raw/ClientRaw\0004\0004_01_06_03_112.jpg,0.5255149602890015,False,True
archive/raw/ClientRaw\0014\0014_01_06_03_167.jpg,0.52674400806427,False,True
archive/raw/ClientRaw\0011\0011_01_07_03_1.jpg,0.5245464444160461,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_462.jpg,0.517132043838501,False,True
archive/raw/ClientRaw\0011\0011_01_07_03_83.jpg,0.5179947018623352,False,True
archive/raw/ClientRaw\0007\0007_00_00_01_53.jpg,0.5177673697471619,False,True
archive/raw/ClientRaw\0006\0006_00_00_01_146.jpg,0.5074135661125183,False,True
archive/raw/ClientRaw\0006\0006_00_00_01_66.jpg,0.506375253200531,False,True
archive/raw/ClientRaw\0001\0001_00_00_02_192.jpg,0.5168085098266602,False,True
archive/raw/ClientRaw\0012\0012_01_07_03_46.jpg,0.5122323036193848,False,True
archive/raw/ClientRaw\0007\0007_01_00_02_434.jpg,0.5191642642021179,False,True
archive/raw/ClientRaw\0006\0006_00_06_03_69.jpg,0.5270607471466064,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_286.jpg,0.5206618309020996,False,True
archive/raw/ClientRaw\0005\0005_00_00_01_396.jpg,0.5138810276985168,False,True
archive/raw/ClientRaw\0012\0012_01_07_03_277.jpg,0.5224241018295288,False,True
archive/raw/ClientRaw\0006\0006_00_00_02_8.jpg,0.5179756283760071,False,True
archive/raw/ClientRaw\0006\0006_00_00_02_50.jpg,0.5147817730903625,False,True
archive/raw/ClientRaw\0004\0004_01_06_03_405.jpg,0.5277982354164124,False,True
archive/raw/ClientRaw\0007\0007_01_05_03_483.jpg,0.5281053185462952,False,True
archive/raw/ClientRaw\0007\0007_01_00_02_53.jpg,0.5220958590507507,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_465.jpg,0.5166358947753906,False,True
archive/raw/ClientRaw\0013\0013_01_07_03_449.jpg,0.5153540968894958,False,True
archive/raw/ClientRaw\0012\0012_01_07_03_423.jpg,0.5258464217185974,False,True
archive/raw/ClientRaw\0005\0005_00_00_01_47.jpg,0.5075182914733887,False,True
archive/raw/ClientRaw\0009\0009_01_00_02_235.jpg,0.5219039916992188,False,True
archive/raw/ClientRaw\0009\0009_01_00_01_268.jpg,0.5166933536529541,False,True
archive/raw/ClientRaw\0007\0007_01_05_03_139.jpg,0.5107093453407288,False,True
archive/raw/ClientRaw\0006\0006_00_06_03_480.jpg,0.5236018300056458,False,True
archive/raw/ClientRaw\0006\0006_00_06_03_278.jpg,0.5235784649848938,False,True
archive/raw/ClientRaw\0011\0011_01_07_03_138.jpg,0.5202102065086365,False,True
archive/raw/ClientRaw\0007\0007_00_00_01_71.jpg,0.5173918604850769,False,True
archive/raw/ClientRaw\0011\0011_01_07_03_43.jpg,0.5190418362617493,False,True
